"CompanyID","Name","Address","Postcode","City"
"0118647-6","Oy Kampintalo","Talouspalvelut","00041","ELO"
"2017518-2","Koulutuskeskus Kallvik Oy"
"2427671-4","Asunto Oy Saukonpaaden Loisto, Helsinki","Salmisaarenaukio 2","00180","HELSINKI"
"2427673-0","Asunto Oy Helsingin Kompassi","Salmisaarenaukio 2","00180","HELSINKI"
"1650381-7","F-Tili Oy","Hämeentie 105 A","00550","HELSINKI"
"1019901-7","Asuntosäätiön Asumisoikeus Oy","KALEVALANTIE 6","02100","ESPOO"
"2618300-1","Asunto Oy Helsingin Ankkurinappi","Tarvonsalmenkatu 15","02600","ESPOO"
"2637310-4","1226 Ulpu Turunen Oy","Konalankuja 2","00390","HELSINKI"
"2290620-9","Kehityspiikki Consulting Oy","Pasilan Puistotie 5","00240","HELSINKI"
"0761641-4","Heading Oy","KYTÖNIITYNTIE 34 A 3","00670","HELSINKI"
"2382073-0","Frank Works Oy","Neulapadontie 8 I 79","00920","HELSINKI"
"0784556-7","Asunto Oy Helsingin Professorinaukio","Raumantie 1","00350","HELSINKI"
